2016-02-17 11:48:41	thomas	http://scuderia/admin/login/	Security Warning: /install.php exists and should be deleted as soon as possible.
2016-02-22 10:57:11	tomfrit	http://scuderia.local/api/	Parse Error: 	syntax error, unexpected ''getRides'' (T_CONSTANT_ENCAPSED_STRING), expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' (line 7 of /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/api.php)
2016-02-22 10:57:50	tomfrit	http://scuderia.local/api/	Parse Error: 	syntax error, unexpected ''getRides'' (T_CONSTANT_ENCAPSED_STRING), expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' (line 7 of /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/api.php)
2016-02-22 10:57:57	tomfrit	http://scuderia.local/api/	Parse Error: 	syntax error, unexpected ''getRides'' (T_CONSTANT_ENCAPSED_STRING), expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' (line 7 of /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/api.php)
2016-02-22 10:59:34	tomfrit	http://scuderia.local/api/	Error: 	Uncaught Error: Function name must be a string in /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/api.php:7 Stack trace: #0 /home/thomas/www/scuderia/wire/core/TemplateFile.php(218): require() #1 [internal function]: ProcessWire\TemplateFile->___render() #2 /home/thomas/www/scuderia/wire/core/Wire.php(303): call_user_func_array(Array, Array) #3 /home/thomas/www/scuderia/wire/core/WireHooks.php(555): ProcessWire\Wire->_callMethod('___render', Array) #4 /home/thomas/www/scuderia/wire/core/Wire.php(327): ProcessWire\WireHooks->runHooks(Object(ProcessWire\TemplateFile), 'render', Array) #5 /home/thomas/www/scuderia/wire/modules/PageRender.module(500): ProcessWire\Wire->__call('render', Array) #6 [internal function]: ProcessWire\PageRender->___renderPage(Object(ProcessWire\HookEvent)) #7 /home/thomas/www/scuderia/wire/core/Wire.php(303): call_user_func_array(Array, Array) #8 /home/thomas/www/scuderia/wire/core/WireHooks.php(555): ProcessWire\Wire->_callMethod('___renderPage', Array) #9 /hom (line 7 of /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/api.php)
2016-02-22 11:01:23	tomfrit	http://scuderia.local/api/	Error: 	Uncaught Error: Function name must be a string in /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/api.php:7 Stack trace: #0 /home/thomas/www/scuderia/wire/core/TemplateFile.php(218): require() #1 [internal function]: ProcessWire\TemplateFile->___render() #2 /home/thomas/www/scuderia/wire/core/Wire.php(303): call_user_func_array(Array, Array) #3 /home/thomas/www/scuderia/wire/core/WireHooks.php(555): ProcessWire\Wire->_callMethod('___render', Array) #4 /home/thomas/www/scuderia/wire/core/Wire.php(327): ProcessWire\WireHooks->runHooks(Object(ProcessWire\TemplateFile), 'render', Array) #5 /home/thomas/www/scuderia/wire/modules/PageRender.module(500): ProcessWire\Wire->__call('render', Array) #6 [internal function]: ProcessWire\PageRender->___renderPage(Object(ProcessWire\HookEvent)) #7 /home/thomas/www/scuderia/wire/core/Wire.php(303): call_user_func_array(Array, Array) #8 /home/thomas/www/scuderia/wire/core/WireHooks.php(555): ProcessWire\Wire->_callMethod('___renderPage', Array) #9 /hom (line 7 of /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/api.php)
2016-02-22 11:02:26	tomfrit	http://scuderia.local/api/	Error: 	Uncaught Error: Method name must be a string in /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/api.php:7 Stack trace: #0 /home/thomas/www/scuderia/wire/core/TemplateFile.php(218): require() #1 [internal function]: ProcessWire\TemplateFile->___render() #2 /home/thomas/www/scuderia/wire/core/Wire.php(303): call_user_func_array(Array, Array) #3 /home/thomas/www/scuderia/wire/core/WireHooks.php(555): ProcessWire\Wire->_callMethod('___render', Array) #4 /home/thomas/www/scuderia/wire/core/Wire.php(327): ProcessWire\WireHooks->runHooks(Object(ProcessWire\TemplateFile), 'render', Array) #5 /home/thomas/www/scuderia/wire/modules/PageRender.module(500): ProcessWire\Wire->__call('render', Array) #6 [internal function]: ProcessWire\PageRender->___renderPage(Object(ProcessWire\HookEvent)) #7 /home/thomas/www/scuderia/wire/core/Wire.php(303): call_user_func_array(Array, Array) #8 /home/thomas/www/scuderia/wire/core/WireHooks.php(555): ProcessWire\Wire->_callMethod('___renderPage', Array) #9 /home/ (line 7 of /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/api.php)
2016-02-22 11:03:02	tomfrit	http://scuderia.local/api/	Error: 	Uncaught Error: Function name must be a string in /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/api.php:7 Stack trace: #0 /home/thomas/www/scuderia/wire/core/TemplateFile.php(218): require() #1 [internal function]: ProcessWire\TemplateFile->___render() #2 /home/thomas/www/scuderia/wire/core/Wire.php(303): call_user_func_array(Array, Array) #3 /home/thomas/www/scuderia/wire/core/WireHooks.php(555): ProcessWire\Wire->_callMethod('___render', Array) #4 /home/thomas/www/scuderia/wire/core/Wire.php(327): ProcessWire\WireHooks->runHooks(Object(ProcessWire\TemplateFile), 'render', Array) #5 /home/thomas/www/scuderia/wire/modules/PageRender.module(500): ProcessWire\Wire->__call('render', Array) #6 [internal function]: ProcessWire\PageRender->___renderPage(Object(ProcessWire\HookEvent)) #7 /home/thomas/www/scuderia/wire/core/Wire.php(303): call_user_func_array(Array, Array) #8 /home/thomas/www/scuderia/wire/core/WireHooks.php(555): ProcessWire\Wire->_callMethod('___renderPage', Array) #9 /hom (line 7 of /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/api.php)
2016-02-22 11:30:28	tomfrit	http://scuderia.local/api/	Error: 	Uncaught Error: Method name must be a string in /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/api.php:8 Stack trace: #0 /home/thomas/www/scuderia/wire/core/TemplateFile.php(218): require() #1 [internal function]: ProcessWire\TemplateFile->___render() #2 /home/thomas/www/scuderia/wire/core/Wire.php(303): call_user_func_array(Array, Array) #3 /home/thomas/www/scuderia/wire/core/WireHooks.php(555): ProcessWire\Wire->_callMethod('___render', Array) #4 /home/thomas/www/scuderia/wire/core/Wire.php(327): ProcessWire\WireHooks->runHooks(Object(ProcessWire\TemplateFile), 'render', Array) #5 /home/thomas/www/scuderia/wire/modules/PageRender.module(500): ProcessWire\Wire->__call('render', Array) #6 [internal function]: ProcessWire\PageRender->___renderPage(Object(ProcessWire\HookEvent)) #7 /home/thomas/www/scuderia/wire/core/Wire.php(303): call_user_func_array(Array, Array) #8 /home/thomas/www/scuderia/wire/core/WireHooks.php(555): ProcessWire\Wire->_callMethod('___renderPage', Array) #9 /home/ (line 8 of /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/api.php)
2016-02-22 11:30:35	tomfrit	http://scuderia.local/api/	Error: 	Exception: Can't save page 2340: /rides/499385873/: Call $page->setOutputFormatting(false) before getting/setting values that will be modified and saved.  [athlete_count] (in /home/thomas/www/scuderia/wire/core/PagesEditor.php line 457)  #0 /home/thomas/www/scuderia/wire/core/Pages.php(237): ProcessWire\PagesEditor->save(Object(ProcessWire\Page), Array) #1 [internal function]: ProcessWire\Pages->___save(Object(ProcessWire\Page), Array) #2 /home/thomas/www/scuderia/wire/core/Wire.php(303): call_user_func_array(Array, Array) #3 /home/thomas/www/scuderia/wire/core/WireHooks.php(555): ProcessWire\Wire->_callMethod('___save', Array) #4 /home/thomas/www/scuderia/wire/core/Wire.php(327): ProcessWire\WireHooks->runHooks(Object(ProcessWire\Pages), 'save', Array) #5 /home/thomas/www/scuderia/wire/core/Page.php(1602): ProcessWire\Wire->__call('save', Array) #6 /home/thomas/www/scuderia/site/modules/ScudiStrava.module(80): ProcessWire\Page->save() #7 /home/thomas/www/scuderia/site/modules/ScudiStrava.module(50): ProcessW
2016-02-22 11:31:31	tomfrit	http://scuderia.local/api/	Error: 	Exception: Unable to copy: http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=200x200&path=weight:3%7Ccolor:red%7Cenc:}z{uHsjji@{\_EgMsLg]{qAScPaEgD_LiSkZqfAsXkb@_Xqx@IsFvWcqAvs@t\lGlLjR|PrJjPlKr[pEnXhZnTq@f_@}NbBeKkAkXeZlGhJfLpIGhRfAjGlO`Bb@_UkRkFYxT => /home/thomas/www/scuderia/site/assets/files/2340/staticmap_sensor_false_size_200x200_path_weight-3_7ccolor-red_7cenc-_z_uhsjji_egmslg_qascpaegd_liskzqfasxkb_xqx_isfvwcqavs.com_maps_api_staticmap_sensor_false_size_200x200_path_weight_3_7ccolor_red_7cenc__z_uhsjji____egmslg__qascpaegd_liskzqfasxkb__xqx_isfvwcqavs_t_lglljr_prjjplkr_penxhzntq_f___nbbekkakxezlghjflpighrfajglo_bb__ukrkfyxt (in /home/thomas/www/scuderia/wire/core/Pagefile.php line 116)  #0 /home/thomas/www/scuderia/wire/core/Pageimage.php(1049): ProcessWire\Pagefile->___install('http://maps.goo...') #1 [internal function]: ProcessWire\Pageimage->___install('http://maps.goo...') #2 /home/thomas/www/scuderia/wire/core/Wire.php(303): call_user_func_array(Array, Array) #3 /home/thomas/www/s
